Country,Name of dam,Alternate dam name,ISO alpha- 3,"Administrative
Unit",Nearest city,River,Major basin,Sub-basin,Completed /operational since,Dam height (m),Reservoir capacity (million m3),Reservoir area (km2),"Sedimen-tation 
(latest known) 
(%) ",Irrigation ,Water supply,Flood control,Hydroelectricity (MW),Navigation,Recreation,Pollution control,Livestock rearing,Other,Decimal degree latitude,Decimal degree longitude,National reference(s),Other reference(s),Comments
Zambia,Kariba,Kariba North,ZMB,Southern,Lusaka,Zambezi,Zambezi Basin,Zambezi,1959,128,94000,2550,,,,,x,,,,,,-16.5222,28.7619,,,"Border with Zimbabwe, total capacity 2x94=188 km3, total area 2 550x2 = 5 100 km2"
Zimbabwe,Kariba,Kariba South,ZWE,Southern,Harare,Zambezi,Zambezi Basin,Zambezi,1959,128,94000,2550,,,,,x,,,,,,-16.5225,28.7789,,,"Border with Zambia, total capacity 2x94=188 km3, total area 2 550x2 = 5 100 km2"
Mozambique,Cahora Bassa,,MOZ,Tete,Tete,Zambeze,Zambezi Basin,Zambezi,1974,171,52000,2047.5,,x,,x,x,,,,,,-15.5867,32.7056,,,
Angola,Capanda,,AGO,,,Cuanza,,,2004,110,4975,,,,,,x,,,,,,-9.7938,15.4771,,3,
Zambia,Itezhi-Tezhi,,ZMB,Southern,Lusaka,Kafue,Zambezi Basin,Kafue,1978,70,4925,0.375,,,,,x,,,,,,-15.775,28.1167,,,
Zimbabwe,Nyatana,,ZWE,,Harare,,,,Incomplete?,,3500,,,,x,,x,,,,,,,,83,,Supply water to Unki Mine
Angola,Gove,,AGO,Huambo,Cuima,Cunene,South West Coast,Cunene,1974,58,2574,178.2,,x,,,x,,,,,,-13.4517,15.8722,5,,
Mozambique,Lurio o Cua,Lurio,MOZ,Nampula,Namapa,Lurio,,,Incomplete,40,2500,,,,,,x,,,,,,,,,1,
Mozambique,Massingir,,MOZ,Gaza,ChokwÇ,Elefantes,Limpopo Basin,Elefantes,1976,48,2256,150.7,,x,,x,x,,,,,,-23.8747,32.1467,,,
Mozambique,Mazingir,,MOZ,,,,,,Incomplete?,,2256,,,,,,x,,,,,,-23.8964,32.1512,,68,
Mozambique,Chicamba Real,,MOZ,Manica,Chimoio,RevuÇ,Indian Ocean Coast,Buzi,1959,75,1536,120,,,,x,x,,,,,,-19.1611,33.1333,,,
Mozambique,Corumana,,MOZ,Maputo,Moamba,SabiÇ,Indian Ocean Coast,Incomati,1988,46,1273,68,,x,,x,x,,,,,,-25.2203,32.1339,,,
Mozambique,Monte Hombe,,MOZ,Manica,Mavonde,Pungoä,,,,60,1246,,,,,,x,,,,,,,,,1,
Zimbabwe,Condo,Kondo,ZWE,,Chisumbanje,Save,,,Incomplete?,,1230,,,x,,,x,,,,,,-19.25,32.0167,83,68,Project to increase capactiy to 3565 million m3 (86m high)
Mozambique,Lurio Quedas,,MOZ,Nampula,Namapa,Lurio,,,Incomplete,45,837,,,,,,x,,,,,,,,,1,
Zambia,Kafue Gorge,,ZMB,Lusaka,Lusaka,Kafue,Zambezi Basin,Kafue,1971,53,785,1.2,,,,,x,,,,,,-15.8083,28.4208,,,
Mozambique,Luo,,MOZ,Zambezia,Namarroi,Luo,,,,63,650,,,,,,x,,,,,,,,,1,
Mozambique,Luenha 7,,MOZ,Tete,Tete,Luenha,,,,45,650,,,,,,x,,,,,,,,,1,
Mozambique,Pavua,,MOZ,Manica,,Pungoä,,,,100,636,,,,,,x,,,,,,,,,1,
Mozambique,BuÇ Maria,Boa Maria,MOZ,Sofala,Nhamatanda,Pungoä,Indian Ocean Coast,Pungoe,,53,402,,,x,,,x,,,,,,-19.0322,34.1786,,1,
Mozambique,Tacuraminga,,MOZ,Manica,,Pungoä,,,,68,310,,,,,,x,,,,,,,,,1,
Mozambique,Chibandulire,,MOZ,Manica,,Pungoä,,,,44,227,,,,,,x,,,,,,,,,1,
Mozambique,Mutala,,MOZ,Zambezia,Alto Moloque,Molocue,,,,42,220,,,,,,x,,,,,,,,,1,
