		Nov  	Dec  	Jan  	Feb  	Mar  	Apr  	May  	Jun  	Jul  	Aug  	Sep  	Oct  	

1		176.586  	169.618  	183.546  	225.160  	173.084  	173.084  	173.084  	169.618  	169.618  	173.084  	182.800  	185.495  	
2		176.586  	167.902  	183.696  	218.908  	173.084  	173.084  	173.084  	169.618  	169.618  	172.939  	181.905  	185.495  	
3		176.586  	166.329  	183.696  	211.181  	173.084  	173.084  	173.084  	169.618  	169.618  	171.491  	181.905  	185.195  	
4		176.586  	166.899  	183.696  	196.833  	173.084  	173.084  	173.084  	169.618  	170.482  	171.346  	181.905  	182.203  	
5		176.586  	166.186  	189.809  	174.857  	173.084  	173.084  	173.084  	169.618  	172.215  	171.491  	178.078  	181.905  	
6		176.586  	166.186  	222.097  	171.347  	173.084  	173.084  	173.084  	169.618  	173.084  	173.523  	179.534  	181.905  	
7		176.586  	166.186  	183.263  	169.045  	172.939  	173.084  	173.084  	169.618  	173.084  	183.427  	180.123  	181.905  	
8		176.586  	166.186  	180.271  	171.938  	171.491  	173.084  	173.084  	169.618  	173.084  	188.821  	180.123  	181.905  	
9		176.586  	166.186  	180.123  	181.914  	171.346  	173.084  	173.084  	169.618  	173.084  	187.152  	180.123  	181.905  	
10		176.586  	166.186  	180.123  	192.954  	172.215  	173.084  	173.084  	169.618  	173.084  	185.646  	180.123  	181.905  	
11		176.586  	166.186  	180.123  	194.938  	173.084  	173.084  	173.084  	169.618  	173.084  	185.495  	180.123  	181.905  	
12		177.028  	166.186  	180.271  	184.914  	173.230  	173.084  	173.084  	169.618  	173.084  	185.195  	180.123  	181.905  	
13		180.569  	167.042  	181.756  	178.646  	174.685  	173.084  	173.084  	169.618  	173.084  	182.203  	180.123  	181.905  	
14		181.014  	167.898  	181.756  	178.350  	174.685  	173.084  	173.084  	169.618  	173.084  	181.756  	180.123  	181.905  	
15		181.014  	167.898  	179.238  	177.322  	173.375  	173.084  	173.084  	169.618  	173.084  	180.271  	180.123  	181.905  	
16		180.123  	167.898  	177.615  	174.686  	173.957  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	181.905  	
17		180.123  	167.898  	178.646  	170.772  	174.685  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	181.905  	
18		181.163  	168.041  	181.757  	169.474  	173.957  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	181.905  	
19		185.199  	169.474  	184.146  	168.327  	173.084  	173.084  	173.084  	169.618  	173.084  	179.237  	180.123  	183.700  	
20		184.299  	168.758  	181.461  	171.058  	173.084  	173.084  	173.084  	169.618  	173.084  	178.498  	180.123  	185.495  	
21		178.794  	167.898  	181.756  	171.346  	173.084  	173.084  	173.084  	169.618  	173.084  	179.975  	180.123  	185.495  	
22		177.468  	167.898  	181.905  	172.215  	173.084  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	185.495  	
23		176.293  	167.898  	181.608  	173.084  	173.084  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	185.345  	
24		173.230  	167.898  	179.098  	173.084  	173.084  	173.084  	173.084  	169.618  	173.084  	180.123  	180.123  	183.845  	
25		170.627  	168.758  	191.417  	172.215  	173.084  	173.084  	173.084  	169.618  	173.084  	180.271  	180.123  	184.595  	
26		169.618  	169.906  	193.857  	171.346  	173.084  	173.084  	173.084  	169.618  	173.084  	181.905  	180.123  	185.495  	
27		169.618  	172.795  	196.323  	171.491  	173.084  	173.084  	173.084  	169.618  	173.084  	183.546  	180.271  	185.495  	
28		169.618  	176.161  	196.477  	172.939  	173.084  	173.084  	173.084  	169.618  	173.084  	183.696  	181.905  	185.495  	
29		169.618  	183.249  	197.412  	         	173.084  	173.084  	173.084  	169.618  	173.084  	183.696  	183.546  	185.495  	
30		169.618  	182.800  	209.403  	         	173.084  	173.084  	172.795  	169.618  	173.084  	183.696  	184.595  	185.495  	
31		         	182.054  	227.332  	         	173.084  	         	169.906  	         	173.084  	183.696  	         	188.680  	
