"","date","discharge"
"1",2017-05-26,192.345
"2",2017-05-27,193.165
"3",2017-05-28,194.14
"4",2017-05-29,183.871
"5",2017-05-30,178.715
"6",2017-05-31,188.906
"7",2017-06-01,190.85
"8",2017-06-02,192.415
"9",2017-06-03,192.126
"10",2017-06-04,191.205
"11",2017-06-05,191.906
"12",2017-06-06,191.82
"13",2017-06-07,186.751
"14",2017-06-08,186.349
"15",2017-06-09,186.51
"16",2017-06-10,185.037
"17",2017-06-11,184.919
"18",2017-06-12,184.93
"19",2017-06-13,184.696
"20",2017-06-14,185.635
"21",2017-06-15,186.148
"22",2017-06-16,186.884
"23",2017-06-17,184.151
"24",2017-06-18,182.267
"25",2017-06-19,181.054
"26",2017-06-20,184.394
"27",2017-06-21,185.74
"28",2017-06-22,185.621
"29",2017-06-23,186.891
"30",2017-06-24,188.303
"31",2017-06-25,185.97
"32",2017-06-26,183.301
"33",2017-06-27,181.721
"34",2017-06-28,184.453
"35",2017-06-29,188.65
"36",2017-06-30,192.582
"37",2017-07-01,194.13
"38",2017-07-02,192.922
"39",2017-07-03,189.764
"40",2017-07-04,183.109
"41",2017-07-05,184.622
"42",2017-07-06,187.538
"43",2017-07-07,184.826
"44",2017-07-08,183.187
"45",2017-07-09,184.165
"46",2017-07-10,185.753
"47",2017-07-11,186.65
"48",2017-07-12,184.989
"49",2017-07-13,182.326
"50",2017-07-14,181.851
"51",2017-07-15,182.362
"52",2017-07-16,189.34
"53",2017-07-17,191.92
"54",2017-07-18,186.374
"55",2017-07-19,182.383
"56",2017-07-20,180.374
"57",2017-07-21,179.95
"58",2017-07-22,176.209
"59",2017-07-23,168.731
"60",2017-07-24,169.154
"61",2017-07-25,164.594
"62",2017-07-26,163.146
"63",2017-07-27,161.728
"64",2017-07-28,159.117
"65",2017-07-29,157.013
"66",2017-07-30,154.572
"67",2017-07-31,153.701
"68",2017-08-01,154.49
"69",2017-08-02,156.835
"70",2017-08-03,157.655
"71",2017-08-04,157.671
"72",2017-08-05,158.953
"73",2017-08-06,160.538
"74",2017-08-07,157.035
"75",2017-08-08,152.341
"76",2017-08-09,154.856
"77",2017-08-10,158.135
"78",2017-08-11,158.879
"79",2017-08-12,158.741
"80",2017-08-13,160.047
"81",2017-08-14,160.131
"82",2017-08-15,158.825
"83",2017-08-16,160.76
"84",2017-08-17,163.478
