"",".id","day","month","value","year","date"
"1","8788.txt",1,11,"-",1987,1987-11-01
"2","8788.txt",2,11,"-",1987,1987-11-02
"3","8788.txt",3,11,"-",1987,1987-11-03
"4","8788.txt",4,11,"-",1987,1987-11-04
"5","8788.txt",5,11,"-",1987,1987-11-05
"6","8788.txt",6,11,"-",1987,1987-11-06
"7","8788.txt",7,11,"-",1987,1987-11-07
"8","8788.txt",8,11,"-",1987,1987-11-08
"9","8788.txt",9,11,"-",1987,1987-11-09
"10","8788.txt",10,11,"-",1987,1987-11-10
"11","8788.txt",11,11,"-",1987,1987-11-11
"12","8788.txt",12,11,"-",1987,1987-11-12
"13","8788.txt",13,11,"-",1987,1987-11-13
"14","8788.txt",14,11,"-",1987,1987-11-14
"15","8788.txt",15,11,"-",1987,1987-11-15
"16","8788.txt",16,11,"-",1987,1987-11-16
"17","8788.txt",17,11,"-",1987,1987-11-17
"18","8788.txt",18,11,"-",1987,1987-11-18
"19","8788.txt",19,11,"-",1987,1987-11-19
"20","8788.txt",20,11,"-",1987,1987-11-20
"21","8788.txt",21,11,"-",1987,1987-11-21
"22","8788.txt",22,11,"-",1987,1987-11-22
"23","8788.txt",23,11,"-",1987,1987-11-23
"24","8788.txt",24,11,"-",1987,1987-11-24
"25","8788.txt",25,11,"-",1987,1987-11-25
"26","8788.txt",26,11,"-",1987,1987-11-26
"27","8788.txt",27,11,"-",1987,1987-11-27
"28","8788.txt",28,11,"-",1987,1987-11-28
"29","8788.txt",29,11,"-",1987,1987-11-29
"30","8788.txt",30,11,"-",1987,1987-11-30
"31","8788.txt",1,12,"-",1987,1987-12-01
"32","8788.txt",2,12,"-",1987,1987-12-02
"33","8788.txt",3,12,"-",1987,1987-12-03
"34","8788.txt",4,12,"-",1987,1987-12-04
"35","8788.txt",5,12,"-",1987,1987-12-05
"36","8788.txt",6,12,"-",1987,1987-12-06
"37","8788.txt",7,12,"-",1987,1987-12-07
"38","8788.txt",8,12,"-",1987,1987-12-08
"39","8788.txt",9,12,"-",1987,1987-12-09
"40","8788.txt",10,12,"-",1987,1987-12-10
"41","8788.txt",11,12,"-",1987,1987-12-11
"42","8788.txt",12,12,"-",1987,1987-12-12
"43","8788.txt",13,12,"-",1987,1987-12-13
"44","8788.txt",14,12,"-",1987,1987-12-14
"45","8788.txt",15,12,"-",1987,1987-12-15
"46","8788.txt",16,12,"-",1987,1987-12-16
"47","8788.txt",17,12,"-",1987,1987-12-17
"48","8788.txt",18,12,"-",1987,1987-12-18
"49","8788.txt",19,12,"-",1987,1987-12-19
"50","8788.txt",20,12,"-",1987,1987-12-20
"51","8788.txt",21,12,"-",1987,1987-12-21
"52","8788.txt",22,12,"-",1987,1987-12-22
"53","8788.txt",23,12,"-",1987,1987-12-23
"54","8788.txt",24,12,"-",1987,1987-12-24
"55","8788.txt",25,12,"-",1987,1987-12-25
"56","8788.txt",26,12,"-",1987,1987-12-26
"57","8788.txt",27,12,"-",1987,1987-12-27
"58","8788.txt",28,12,"-",1987,1987-12-28
"59","8788.txt",29,12,"-",1987,1987-12-29
"60","8788.txt",30,12,"-",1987,1987-12-30
"61","8788.txt",31,12,"-",1987,1987-12-31
"62","8788.txt",1,1,"-",1988,1988-01-01
"63","8788.txt",2,1,"-",1988,1988-01-02
"64","8788.txt",3,1,"-",1988,1988-01-03
"65","8788.txt",4,1,"-",1988,1988-01-04
"66","8788.txt",5,1,"-",1988,1988-01-05
"67","8788.txt",6,1,"-",1988,1988-01-06
"68","8788.txt",7,1,"-",1988,1988-01-07
"69","8788.txt",8,1,"-",1988,1988-01-08
"70","8788.txt",9,1,"-",1988,1988-01-09
"71","8788.txt",10,1,"-",1988,1988-01-10
"72","8788.txt",11,1,"-",1988,1988-01-11
"73","8788.txt",12,1,"-",1988,1988-01-12
"74","8788.txt",13,1,"418.898",1988,1988-01-13
"75","8788.txt",14,1,"403.641",1988,1988-01-14
"76","8788.txt",15,1,"402.302",1988,1988-01-15
"77","8788.txt",16,1,"404.520",1988,1988-01-16
"78","8788.txt",17,1,"404.310",1988,1988-01-17
"79","8788.txt",18,1,"424.356",1988,1988-01-18
"80","8788.txt",19,1,"427.541",1988,1988-01-19
"81","8788.txt",20,1,"427.313",1988,1988-01-20
"82","8788.txt",21,1,"426.640",1988,1988-01-21
"83","8788.txt",22,1,"439.992",1988,1988-01-22
"84","8788.txt",23,1,"447.216",1988,1988-01-23
"85","8788.txt",24,1,"443.495",1988,1988-01-24
"86","8788.txt",25,1,"472.166",1988,1988-01-25
"87","8788.txt",26,1,"485.727",1988,1988-01-26
"88","8788.txt",27,1,"523.864",1988,1988-01-27
"89","8788.txt",28,1,"572.447",1988,1988-01-28
"90","8788.txt",29,1,"485.901",1988,1988-01-29
"91","8788.txt",30,1,"474.059",1988,1988-01-30
"92","8788.txt",31,1,"466.632",1988,1988-01-31
"93","8788.txt",1,2,"442.328",1988,1988-02-01
"94","8788.txt",2,2,"437.207",1988,1988-02-02
"95","8788.txt",3,2,"432.130",1988,1988-02-03
"96","8788.txt",4,2,"429.144",1988,1988-02-04
"97","8788.txt",5,2,"428.235",1988,1988-02-05
"98","8788.txt",6,2,"448.891",1988,1988-02-06
"99","8788.txt",7,2,"481.933",1988,1988-02-07
"100","8788.txt",8,2,"559.401",1988,1988-02-08
"101","8788.txt",9,2,"749.714",1988,1988-02-09
"102","8788.txt",10,2,"688.502",1988,1988-02-10
"103","8788.txt",11,2,"672.496",1988,1988-02-11
"104","8788.txt",12,2,"636.604",1988,1988-02-12
"105","8788.txt",13,2,"568.992",1988,1988-02-13
"106","8788.txt",14,2,"552.072",1988,1988-02-14
"107","8788.txt",15,2,"606.443",1988,1988-02-15
"108","8788.txt",16,2,"596.706",1988,1988-02-16
"109","8788.txt",17,2,"666.598",1988,1988-02-17
"110","8788.txt",18,2,"678.829",1988,1988-02-18
"111","8788.txt",19,2,"651.171",1988,1988-02-19
"112","8788.txt",20,2,"622.616",1988,1988-02-20
"113","8788.txt",21,2,"-",1988,1988-02-21
"114","8788.txt",22,2,"-",1988,1988-02-22
"115","8788.txt",23,2,"-",1988,1988-02-23
"116","8788.txt",24,2,"-",1988,1988-02-24
"117","8788.txt",25,2,"-",1988,1988-02-25
"118","8788.txt",26,2,"-",1988,1988-02-26
"119","8788.txt",27,2,"-",1988,1988-02-27
"120","8788.txt",28,2,"-",1988,1988-02-28
"121","8788.txt",29,2,"-",1988,1988-02-29
"122","8788.txt",1,3,"-",1988,1988-03-01
"123","8788.txt",2,3,"-",1988,1988-03-02
"124","8788.txt",3,3,"-",1988,1988-03-03
"125","8788.txt",4,3,"-",1988,1988-03-04
"126","8788.txt",5,3,"-",1988,1988-03-05
"127","8788.txt",6,3,"-",1988,1988-03-06
"128","8788.txt",7,3,"-",1988,1988-03-07
"129","8788.txt",8,3,"-",1988,1988-03-08
"130","8788.txt",9,3,"-",1988,1988-03-09
"131","8788.txt",10,3,"-",1988,1988-03-10
"132","8788.txt",11,3,"-",1988,1988-03-11
"133","8788.txt",12,3,"-",1988,1988-03-12
"134","8788.txt",13,3,"-",1988,1988-03-13
"135","8788.txt",14,3,"-",1988,1988-03-14
"136","8788.txt",15,3,"-",1988,1988-03-15
"137","8788.txt",16,3,"-",1988,1988-03-16
"138","8788.txt",17,3,"-",1988,1988-03-17
"139","8788.txt",18,3,"-",1988,1988-03-18
"140","8788.txt",19,3,"-",1988,1988-03-19
"141","8788.txt",20,3,"-",1988,1988-03-20
"142","8788.txt",21,3,"-",1988,1988-03-21
"143","8788.txt",22,3,"-",1988,1988-03-22
"144","8788.txt",23,3,"-",1988,1988-03-23
"145","8788.txt",24,3,"-",1988,1988-03-24
"146","8788.txt",25,3,"-",1988,1988-03-25
"147","8788.txt",26,3,"-",1988,1988-03-26
"148","8788.txt",27,3,"-",1988,1988-03-27
"149","8788.txt",28,3,"-",1988,1988-03-28
"150","8788.txt",29,3,"-",1988,1988-03-29
"151","8788.txt",30,3,"-",1988,1988-03-30
"152","8788.txt",31,3,"-",1988,1988-03-31
"153","8788.txt",1,4,"-",1988,1988-04-01
"154","8788.txt",2,4,"-",1988,1988-04-02
