,Date,variable,value
1,01/11/1970,Liwonde_dis,167
2,02/11/1970,Liwonde_dis,167
3,03/11/1970,Liwonde_dis,166
4,04/11/1970,Liwonde_dis,166
5,05/11/1970,Liwonde_dis,165
6,06/11/1970,Liwonde_dis,165
7,07/11/1970,Liwonde_dis,164
8,08/11/1970,Liwonde_dis,165
9,09/11/1970,Liwonde_dis,165
10,10/11/1970,Liwonde_dis,166
11,11/11/1970,Liwonde_dis,166
12,12/11/1970,Liwonde_dis,166
13,13/11/1970,Liwonde_dis,164
14,14/11/1970,Liwonde_dis,164
15,15/11/1970,Liwonde_dis,166
16,16/11/1970,Liwonde_dis,166
17,17/11/1970,Liwonde_dis,166
18,18/11/1970,Liwonde_dis,166
19,19/11/1970,Liwonde_dis,166
20,20/11/1970,Liwonde_dis,165
21,21/11/1970,Liwonde_dis,164
22,22/11/1970,Liwonde_dis,163
23,23/11/1970,Liwonde_dis,164
24,24/11/1970,Liwonde_dis,163
25,25/11/1970,Liwonde_dis,164
26,26/11/1970,Liwonde_dis,164
27,27/11/1970,Liwonde_dis,164
28,28/11/1970,Liwonde_dis,164
29,29/11/1970,Liwonde_dis,166
30,30/11/1970,Liwonde_dis,169
31,01/12/1970,Liwonde_dis,173
32,02/12/1970,Liwonde_dis,168
33,03/12/1970,Liwonde_dis,168
34,04/12/1970,Liwonde_dis,170
35,05/12/1970,Liwonde_dis,173
36,06/12/1970,Liwonde_dis,174
37,07/12/1970,Liwonde_dis,174
38,08/12/1970,Liwonde_dis,174
39,09/12/1970,Liwonde_dis,169
40,10/12/1970,Liwonde_dis,168
41,11/12/1970,Liwonde_dis,168
42,12/12/1970,Liwonde_dis,168
43,13/12/1970,Liwonde_dis,169
44,14/12/1970,Liwonde_dis,168
45,15/12/1970,Liwonde_dis,166
46,16/12/1970,Liwonde_dis,167
47,17/12/1970,Liwonde_dis,168
48,18/12/1970,Liwonde_dis,170
49,19/12/1970,Liwonde_dis,173
50,20/12/1970,Liwonde_dis,174
51,21/12/1970,Liwonde_dis,174
52,22/12/1970,Liwonde_dis,172
53,23/12/1970,Liwonde_dis,176
54,24/12/1970,Liwonde_dis,175
55,25/12/1970,Liwonde_dis,175
56,26/12/1970,Liwonde_dis,175
57,27/12/1970,Liwonde_dis,176
58,28/12/1970,Liwonde_dis,177
59,29/12/1970,Liwonde_dis,178
60,30/12/1970,Liwonde_dis,180
61,31/12/1970,Liwonde_dis,181
62,01/01/1971,Liwonde_dis,177
63,02/01/1971,Liwonde_dis,175
64,03/01/1971,Liwonde_dis,176
65,04/01/1971,Liwonde_dis,179
66,05/01/1971,Liwonde_dis,180
67,06/01/1971,Liwonde_dis,178
68,07/01/1971,Liwonde_dis,178
69,08/01/1971,Liwonde_dis,181
70,09/01/1971,Liwonde_dis,181
71,10/01/1971,Liwonde_dis,180
72,11/01/1971,Liwonde_dis,181
73,12/01/1971,Liwonde_dis,181
74,13/01/1971,Liwonde_dis,183
75,14/01/1971,Liwonde_dis,186
76,15/01/1971,Liwonde_dis,181
77,16/01/1971,Liwonde_dis,179
78,17/01/1971,Liwonde_dis,182
79,18/01/1971,Liwonde_dis,213
80,19/01/1971,Liwonde_dis,248
81,20/01/1971,Liwonde_dis,247
82,21/01/1971,Liwonde_dis,249
83,22/01/1971,Liwonde_dis,257
84,23/01/1971,Liwonde_dis,262
85,24/01/1971,Liwonde_dis,347
86,25/01/1971,Liwonde_dis,422
87,26/01/1971,Liwonde_dis,341
88,27/01/1971,Liwonde_dis,216
89,28/01/1971,Liwonde_dis,199
90,29/01/1971,Liwonde_dis,313
91,30/01/1971,Liwonde_dis,404
92,31/01/1971,Liwonde_dis,391
93,01/02/1971,Liwonde_dis,380
94,02/02/1971,Liwonde_dis,374
95,03/02/1971,Liwonde_dis,368
96,04/02/1971,Liwonde_dis,365
97,05/02/1971,Liwonde_dis,363
98,06/02/1971,Liwonde_dis,361
99,07/02/1971,Liwonde_dis,267
100,08/02/1971,Liwonde_dis,185
101,09/02/1971,Liwonde_dis,193
102,10/02/1971,Liwonde_dis,194
103,11/02/1971,Liwonde_dis,195
104,12/02/1971,Liwonde_dis,196
105,13/02/1971,Liwonde_dis,313
106,14/02/1971,Liwonde_dis,411
107,15/02/1971,Liwonde_dis,398
108,16/02/1971,Liwonde_dis,394
109,17/02/1971,Liwonde_dis,394
110,18/02/1971,Liwonde_dis,402
111,19/02/1971,Liwonde_dis,416
112,20/02/1971,Liwonde_dis,417
113,21/02/1971,Liwonde_dis,411
114,22/02/1971,Liwonde_dis,410
115,23/02/1971,Liwonde_dis,404
116,24/02/1971,Liwonde_dis,411
117,25/02/1971,Liwonde_dis,414
118,26/02/1971,Liwonde_dis,414
119,27/02/1971,Liwonde_dis,414
120,28/02/1971,Liwonde_dis,415
121,01/03/1971,Liwonde_dis,421
122,02/03/1971,Liwonde_dis,434
123,03/03/1971,Liwonde_dis,441
124,04/03/1971,Liwonde_dis,452
125,05/03/1971,Liwonde_dis,451
126,06/03/1971,Liwonde_dis,447
127,07/03/1971,Liwonde_dis,439
128,08/03/1971,Liwonde_dis,433
129,09/03/1971,Liwonde_dis,429
130,10/03/1971,Liwonde_dis,430
