"","date","variable","value"
"1",1970-11-01,"Liwonde (1B1)_dis",167
"2",1970-11-02,"Liwonde (1B1)_dis",167
"3",1970-11-03,"Liwonde (1B1)_dis",166
"4",1970-11-04,"Liwonde (1B1)_dis",166
"5",1970-11-05,"Liwonde (1B1)_dis",165
"6",1970-11-06,"Liwonde (1B1)_dis",165
"7",1970-11-07,"Liwonde (1B1)_dis",164
"8",1970-11-08,"Liwonde (1B1)_dis",165
"9",1970-11-09,"Liwonde (1B1)_dis",165
"10",1970-11-10,"Liwonde (1B1)_dis",166
"11",1970-11-11,"Liwonde (1B1)_dis",166
"12",1970-11-12,"Liwonde (1B1)_dis",166
"13",1970-11-13,"Liwonde (1B1)_dis",164
"14",1970-11-14,"Liwonde (1B1)_dis",164
"15",1970-11-15,"Liwonde (1B1)_dis",166
"16",1970-11-16,"Liwonde (1B1)_dis",166
"17",1970-11-17,"Liwonde (1B1)_dis",166
"18",1970-11-18,"Liwonde (1B1)_dis",166
"19",1970-11-19,"Liwonde (1B1)_dis",166
"20",1970-11-20,"Liwonde (1B1)_dis",165
"21",1970-11-21,"Liwonde (1B1)_dis",164
"22",1970-11-22,"Liwonde (1B1)_dis",163
"23",1970-11-23,"Liwonde (1B1)_dis",164
"24",1970-11-24,"Liwonde (1B1)_dis",163
"25",1970-11-25,"Liwonde (1B1)_dis",164
"26",1970-11-26,"Liwonde (1B1)_dis",164
"27",1970-11-27,"Liwonde (1B1)_dis",164
"28",1970-11-28,"Liwonde (1B1)_dis",164
"29",1970-11-29,"Liwonde (1B1)_dis",166
"30",1970-11-30,"Liwonde (1B1)_dis",169
"31",1970-12-01,"Liwonde (1B1)_dis",173
"32",1970-12-02,"Liwonde (1B1)_dis",168
"33",1970-12-03,"Liwonde (1B1)_dis",168
"34",1970-12-04,"Liwonde (1B1)_dis",170
"35",1970-12-05,"Liwonde (1B1)_dis",173
"36",1970-12-06,"Liwonde (1B1)_dis",174
"37",1970-12-07,"Liwonde (1B1)_dis",174
"38",1970-12-08,"Liwonde (1B1)_dis",174
"39",1970-12-09,"Liwonde (1B1)_dis",169
"40",1970-12-10,"Liwonde (1B1)_dis",168
"41",1970-12-11,"Liwonde (1B1)_dis",168
"42",1970-12-12,"Liwonde (1B1)_dis",168
"43",1970-12-13,"Liwonde (1B1)_dis",169
"44",1970-12-14,"Liwonde (1B1)_dis",168
"45",1970-12-15,"Liwonde (1B1)_dis",166
"46",1970-12-16,"Liwonde (1B1)_dis",167
"47",1970-12-17,"Liwonde (1B1)_dis",168
"48",1970-12-18,"Liwonde (1B1)_dis",170
"49",1970-12-19,"Liwonde (1B1)_dis",173
"50",1970-12-20,"Liwonde (1B1)_dis",174
"51",1970-12-21,"Liwonde (1B1)_dis",174
"52",1970-12-22,"Liwonde (1B1)_dis",172
"53",1970-12-23,"Liwonde (1B1)_dis",176
"54",1970-12-24,"Liwonde (1B1)_dis",175
"55",1970-12-25,"Liwonde (1B1)_dis",175
"56",1970-12-26,"Liwonde (1B1)_dis",175
"57",1970-12-27,"Liwonde (1B1)_dis",176
"58",1970-12-28,"Liwonde (1B1)_dis",177
"59",1970-12-29,"Liwonde (1B1)_dis",178
"60",1970-12-30,"Liwonde (1B1)_dis",180
"61",1970-12-31,"Liwonde (1B1)_dis",181
"62",1971-01-01,"Liwonde (1B1)_dis",177
"63",1971-01-02,"Liwonde (1B1)_dis",175
"64",1971-01-03,"Liwonde (1B1)_dis",176
"65",1971-01-04,"Liwonde (1B1)_dis",179
"66",1971-01-05,"Liwonde (1B1)_dis",180
"67",1971-01-06,"Liwonde (1B1)_dis",178
"68",1971-01-07,"Liwonde (1B1)_dis",178
"69",1971-01-08,"Liwonde (1B1)_dis",181
"70",1971-01-09,"Liwonde (1B1)_dis",181
"71",1971-01-10,"Liwonde (1B1)_dis",180
"72",1971-01-11,"Liwonde (1B1)_dis",181
"73",1971-01-12,"Liwonde (1B1)_dis",181
"74",1971-01-13,"Liwonde (1B1)_dis",183
"75",1971-01-14,"Liwonde (1B1)_dis",186
"76",1971-01-15,"Liwonde (1B1)_dis",181
"77",1971-01-16,"Liwonde (1B1)_dis",179
"78",1971-01-17,"Liwonde (1B1)_dis",182
"79",1971-01-18,"Liwonde (1B1)_dis",213
"80",1971-01-19,"Liwonde (1B1)_dis",248
"81",1971-01-20,"Liwonde (1B1)_dis",247
"82",1971-01-21,"Liwonde (1B1)_dis",249
"83",1971-01-22,"Liwonde (1B1)_dis",257
"84",1971-01-23,"Liwonde (1B1)_dis",262
"85",1971-01-24,"Liwonde (1B1)_dis",347
"86",1971-01-25,"Liwonde (1B1)_dis",422
"87",1971-01-26,"Liwonde (1B1)_dis",341
"88",1971-01-27,"Liwonde (1B1)_dis",216
"89",1971-01-28,"Liwonde (1B1)_dis",199
"90",1971-01-29,"Liwonde (1B1)_dis",313
"91",1971-01-30,"Liwonde (1B1)_dis",404
"92",1971-01-31,"Liwonde (1B1)_dis",391
"93",1971-02-01,"Liwonde (1B1)_dis",380
"94",1971-02-02,"Liwonde (1B1)_dis",374
"95",1971-02-03,"Liwonde (1B1)_dis",368
"96",1971-02-04,"Liwonde (1B1)_dis",365
"97",1971-02-05,"Liwonde (1B1)_dis",363
"98",1971-02-06,"Liwonde (1B1)_dis",361
"99",1971-02-07,"Liwonde (1B1)_dis",267
"100",1971-02-08,"Liwonde (1B1)_dis",185
"101",1971-02-09,"Liwonde (1B1)_dis",193
"102",1971-02-10,"Liwonde (1B1)_dis",194
"103",1971-02-11,"Liwonde (1B1)_dis",195
"104",1971-02-12,"Liwonde (1B1)_dis",196
"105",1971-02-13,"Liwonde (1B1)_dis",313
"106",1971-02-14,"Liwonde (1B1)_dis",411
"107",1971-02-15,"Liwonde (1B1)_dis",398
"108",1971-02-16,"Liwonde (1B1)_dis",394
"109",1971-02-17,"Liwonde (1B1)_dis",394
"110",1971-02-18,"Liwonde (1B1)_dis",402
"111",1971-02-19,"Liwonde (1B1)_dis",416
"112",1971-02-20,"Liwonde (1B1)_dis",417
"113",1971-02-21,"Liwonde (1B1)_dis",411
"114",1971-02-22,"Liwonde (1B1)_dis",410
"115",1971-02-23,"Liwonde (1B1)_dis",404
"116",1971-02-24,"Liwonde (1B1)_dis",411
"117",1971-02-25,"Liwonde (1B1)_dis",414
"118",1971-02-26,"Liwonde (1B1)_dis",414
"119",1971-02-27,"Liwonde (1B1)_dis",414
"120",1971-02-28,"Liwonde (1B1)_dis",415
"121",1971-03-01,"Liwonde (1B1)_dis",421
"122",1971-03-02,"Liwonde (1B1)_dis",434
"123",1971-03-03,"Liwonde (1B1)_dis",441
"124",1971-03-04,"Liwonde (1B1)_dis",452
"125",1971-03-05,"Liwonde (1B1)_dis",451
"126",1971-03-06,"Liwonde (1B1)_dis",447
"127",1971-03-07,"Liwonde (1B1)_dis",439
"128",1971-03-08,"Liwonde (1B1)_dis",433
"129",1971-03-09,"Liwonde (1B1)_dis",429
"130",1971-03-10,"Liwonde (1B1)_dis",430
"131",1971-03-11,"Liwonde (1B1)_dis",431
"132",1971-03-12,"Liwonde (1B1)_dis",431
"133",1971-03-13,"Liwonde (1B1)_dis",432
